feature,anova_f,anova_p,mutual_info,random_forest,anova_rank,mi_rank,rf_rank,mean_rank
light_raw__delta1,21.71363243416747,3.1906995944425686e-06,0.17553568952242138,2.1590268297142795e-07,132.0,141.0,76.0,116.33333333333333
solar_raw_iqr_30,685.1024795649107,6.36381707655149e-148,0.31574774779320425,7.829065464831191e-08,94.0,135.0,122.0,117.0
solar_raw__delta1,3.3454209192977356,0.06741073430838354,0.12230543363282065,2.3778337249687935e-07,141.0,147.0,64.0,117.33333333333333
temperature_c_iqr_60,52.13664956244108,5.408411920020879e-13,0.37662868772709057,1.467932994466832e-07,129.0,131.0,98.0,119.33333333333333
solar_raw__delta2,0.027772298221819158,0.8676473642422586,0.0694999822977711,2.80275981763164e-07,153.0,154.0,53.0,120.0
battery_v__roll_range_360m,341.1032215055805,2.2037980070765045e-75,0.6395948834931202,2.1345742220946882e-08,106.0,114.0,144.0,121.33333333333333
temperature_c_iqr_30,4.994716039558089,0.02543849231110269,0.2538051560573975,1.5293177683384527e-07,139.0,137.0,94.0,123.33333333333333
temperature_c__roll_range_15m,0.3601073159560789,0.5484550899947007,0.42064432394180074,1.5436612526552873e-07,148.0,130.0,93.0,123.66666666666667
battery_v__roll_std_15m,9.024149433785363,0.002668456783459616,0.17348581750938985,7.698164586127638e-08,138.0,142.0,124.0,134.66666666666666
day_of_week,59.52823918517304,1.2758999893232166e-14,0.279206039658181,1.4272690258615024e-08,127.0,136.0,153.0,138.66666666666666
battery_v_iqr_240,2.059368386518783,0.15129229381116524,0.1927055110276903,4.064465158566242e-08,143.0,139.0,134.0,138.66666666666666
battery_v_iqr_90,0.33058365011111907,0.565323652974776,0.11620000965152544,6.193832633747119e-08,149.0,148.0,127.0,141.33333333333334
battery_v__roll_range_60m,14.27050382285467,0.0001588967590943203,0.23211086704430972,1.0333259607897043e-08,134.0,138.0,155.0,142.33333333333334
battery_v__roll_range_15m,13.342425373158507,0.0002602920030600401,0.12544014098437972,1.5306914993031267e-08,136.0,146.0,152.0,144.66666666666666
battery_v_iqr_180,0.3286942967084354,0.5664369572972434,0.15895937864706755,2.067370543013254e-08,150.0,144.0,146.0,146.66666666666666
battery_v_iqr_60,0.45349131643914947,0.50069130013276,0.08520218119056366,2.1777268429366348e-08,147.0,152.0,142.0,147.0
battery_v_iqr_120,0.07453982894269598,0.7848414734138189,0.13254487164288142,1.56614617937605e-08,151.0,145.0,151.0,149.0
battery_drain_rate,0.00704530631821337,0.9331081038316913,0.0369936574578178,2.3998430837584125e-08,155.0,156.0,140.0,150.33333333333334
battery_v__delta2,0.0007735051183183441,0.9778124717974392,0.029389385069248597,2.304608847137876e-08,157.0,157.0,141.0,151.66666666666666
battery_v_iqr_30,0.002254494613566334,0.9621300488543186,0.07073025764410135,2.0267058701694866e-08,156.0,153.0,147.0,152.0
battery_v__delta1,0.00788949786318241,0.9292238066396231,0.04015789106214496,1.4265055888816604e-08,154.0,155.0,154.0,154.33333333333334
